variable,speaker,time,word,realization
wh aspiration,KT002,2198.65,when,
wh aspiration,KT002,2220.19,what,
wh aspiration,KT002,2290.47,what,
wh aspiration,KT002,2298.18,when,
wh aspiration,KT002,2396.41,what,
wh aspiration,KT002,2434.92,what,
wh aspiration,KT002,2443.91,when,
wh aspiration,KT002,2517.07,when,
wh aspiration,KT002,2539.48,what,
wh aspiration,KT002,2566.81,when,
wh aspiration,KT002,2617.6,which,
wh aspiration,KT002,2667.47,which,
wh aspiration,KT002,2871.04,white,
wh aspiration,KT002,2875.24,whatever,
wh aspiration,KT002,2885.14,when,
wh aspiration,KT002,2905.45,while,
wh aspiration,KT002,2909.84,when,
wh aspiration,KT002,2910.9,when,
wh aspiration,KT002,2912.32,what,
wh aspiration,KT002,2914.53,when,
wh aspiration,KT002,2917.24,when,
wh aspiration,KT002,2973.54,when,
wh aspiration,KT002,2986.27,what,
wh aspiration,KT002,3036.75,what,
wh aspiration,KT002,3045.91,when,
wh aspiration,KT002,3103.48,when,
wh aspiration,KT002,3110.77,when,
wh aspiration,KT002,3113.81,when,
wh aspiration,KT002,3129.75,when,
wh aspiration,KT002,3191.41,when,
wh aspiration,KT002,3215.47,which,
wh aspiration,KT002,3224.36,when,
wh aspiration,KT002,3261.18,when,
wh aspiration,KT002,3329,when,
wh aspiration,KT002,3338.77,when,
wh aspiration,KT002,3350.97,whatever,
wh aspiration,KT002,3367.95,when,
wh aspiration,KT002,3397.62,what,
velar nasals,KT003,53.38,watching,
velar nasals,KT003,107.32,things,
velar nasals,KT003,108.54,helping,
velar nasals,KT003,115.83,things,
velar nasals,KT003,135.24,playing,
velar nasals,KT003,136.8,learning,
velar nasals,KT003,137.03,things,
velar nasals,KT003,154.34,growing,
velar nasals,KT003,166.36,things,
velar nasals,KT003,198.54,younger,
velar nasals,KT003,207.21,along,
velar nasals,KT003,212.05,being,
velar nasals,KT003,214.08,things,
velar nasals,KT003,237.58,drinking,
velar nasals,KT003,237.8,drinking,
velar nasals,KT003,241.47,drinking,
velar nasals,KT003,241.65,drinking,
velar nasals,KT003,248.78,thing,
velar nasals,KT003,277.11,growing,
velar nasals,KT003,280.08,clothing,
velar nasals,KT003,301.72,think,
velar nasals,KT003,357.72,things,
velar nasals,KT003,392.36,uncles,
velar nasals,KT003,403.29,along,
velar nasals,KT003,462.71,songs,
velar nasals,KT003,496.97,think,
velar nasals,KT003,522.99,trying,
velar nasals,KT003,530.99,things,
velar nasals,KT003,613.87,watching,
velar nasals,KT003,615.96,ankle,
velar nasals,KT003,639.45,weddings,
velar nasals,KT003,641.16,thrilling,
velar nasals,KT003,654.82,think,
velar nasals,KT003,716.5,thing,
velar nasals,KT003,725.68,going,
velar nasals,KT003,734.14,think,
velar nasals,KT003,735.31,thing,
velar nasals,KT003,740.76,realizing,
velar nasals,KT003,767.09,graduating,
velar nasals,KT003,775.64,ring,
velar nasals,KT003,784.41,thanksgiving,
velar nasals,KT003,784.85,thanksgiving,
velar nasals,KT003,802.62,younger,
velar nasals,KT003,804.31,feeling,
velar nasals,KT003,805.39,getting,
velar nasals,KT003,808.17,think,
velar nasals,KT003,809.66,thing,
velar nasals,KT003,822.01,think,
velar nasals,KT003,831.83,things,
velar nasals,KT003,843.11,evening,
velar nasals,KT003,850.29,blanket,
velar nasals,KT003,910.96,uncle,
velar nasals,KT003,917.55,hung,
velar nasals,KT003,929.2,think,
